Markdown Path,Markdown Filename,title,articleIndex,index,description,date,draft,contributors,contributor.role,contributor.name,contributor.headshot,contributor.caption,contributor.bio,articletype,azure_dir,header_image,header_image.filename,header_image.alt_text,tags,byline,subtitle,no_leaf_bug,Obsolete Front Matter
volume-ii-issue-1,kirschenmann.md,From Soil to Sust...,12,kirschenmann,,03/06/2022 11:50:02,False,1,author,Frederick L. Kirs...,Kirschenmann.png,Photo courtesy of...,Frederick L. Kirs...,,rootstalk-2015-fall,,,,essay,,,,['azure_headerimage']
volume-ii-issue-1,scanbridge.md,Close-up: Diana S...,8,scanbridge,,03/06/2022 11:50:02,False,1,author,Diana Scandridge,Scandridge_headsh...,Photo courtesy of...,,,rootstalk-2015-fall,,,,"closeup,art",,,,['azure_headerimage']
volume-ii-issue-1,heath.md,,6,heath,,03/06/2022 11:50:02,False,1,author,Frank Heath,Heath_1.jpg,Photo courtesy of...,Frank Heath is a ...,,rootstalk-2015-fall,,,,essay,,,,['azure_headerimage']
volume-ii-issue-1,stowe.md,Swimming Upstream...,10,stowe,,03/06/2022 11:50:02,False,1,author,William G. Stowe,Bill_Stowe-2.jpg,Photo courtesy of...,Bill Stowe is the...,,rootstalk-2015-fall,,,," , ",,,,['azure_headerimage']
volume-ii-issue-1,whittaker.md,Tortoise Philosophy,7,whittaker,,03/06/2022 11:50:02,False,1,author,John C. Whittaker,JW_peasant_France...,Photo courtesy of...,John Whittaker ha...,,rootstalk-2015-fall,,,,essay,,,,['azure_headerimage']
volume-ii-issue-1,lahay.md,Puppy Mills in Iowa,11,lahay,,03/06/2022 11:50:02,False,1,author,Mary LaHay,Mary_LaHay.jpg,Photo courtesy of...,Mary LaHay lives ...,,rootstalk-2015-fall,,,,essay,,,,['azure_headerimage']
volume-ii-issue-1,hayworth-photos.md,Photo Essay,3,hayworth-photos,,03/06/2022 11:50:02,False,1,photographer,Justin Hayworth,Hayworth_2c_Justi...,Photo courtesy of...,[Justin Hayworth]...,Photo Essay,rootstalk-2015-fall,,,,photo essay,,,,['azure_headerimage']
volume-ii-issue-1,mutel.md,The Stories We Li...,9,mutel,,03/06/2022 11:50:02,False,1,author,Cornelia F. Mutel,Connie_Mutel.png,Photo courtesy of...,"Connie Mutel, a S...",,rootstalk-2015-fall,,,,essay,,,,['azure_headerimage']
volume-ii-issue-1,farewell-richard.md,"Farewell, Richard",1,farewell-richard,,03/06/2022 11:50:02,False,1,author,Jonathan Andelson,Jon_Headshot.jpg,Photo courtesy of...,,,rootstalk-2015-fall,,,,essay,,,,['azure_headerimage']
volume-ii-issue-1,moffett-2.md,The Real Deep Riv...,5,moffett-2,,03/06/2022 11:50:02,False,2,author,Sandy Moffett,Sandy_Burn.jpg,Photo courtesy of...,"Sandy Moffett, Em...",,rootstalk-2015-fall,,,,song,,,,['azure_headerimage']
volume-ii-issue-1,_index.md,"Volume II, Issue 1",,,Fall 2015,,,,,,,,,,rootstalk-2015-fall,,,,,,,,"['issueIndex', 'pid']"
volume-iii-issue-2,maher.md,"The Pines, in Con...",16,maher,,27/01/2022 15:12:56,False,1,author,Kelly Hansen Maher,IMG_2641.jpg,Photo courtesy of...,Kelly Hansen Mahe...,,rootstalk-2017-sp...,,,,essay,,,,['azure_headerimage']
volume-iii-issue-2,schwartz.md,Mushrooms in the ...,15,schwartz,,27/01/2022 15:12:56,False,3,interviewee,Glen Schwartz,Glenn_Schwartz_he...,Photo courtesy of...,Glen Schwartz  gr...,,rootstalk-2017-sp...,,,,interview,,,,['azure_headerimage']
volume-iii-issue-2,running.md,Cure,6,running,,27/01/2022 15:12:56,False,1,author,Lee Emma Running,Lee__012.jpg,Photo by Barry Ph...,*Lee Emma Running...,mixed media,rootstalk-2017-sp...,,,,"media,article",,,,['azure_headerimage']
volume-iii-issue-2,hanson.md,Obedience and Res...,10,hanson,,27/01/2022 15:12:56,False,1,author,John Lawrence Hanson,DSC_0102mcr.jpg,,[John Lawrence Ha...,,rootstalk-2017-sp...,,,,essay,,,,['azure_headerimage']
volume-iii-issue-2,neems.md,"Chore Boots, Chec...",14,neems,,27/01/2022 15:12:56,False,1,author,Sophie Neems,Sophie_LinkedIn_P...,Photo courtesy of...,Sophie Neems grad...,,rootstalk-2017-sp...,,,,essay,,,,['azure_headerimage']
volume-iii-issue-2,shukla.md,Drawings,5,shukla,,27/01/2022 15:12:56,False,1,author,Tara Shukla,headshot2.jpg,Photo by Anjali J...,Born and raised i...,,rootstalk-2017-sp...,,,,"essay,art",,,,['azure_headerimage']
volume-iii-issue-2,publisher.md,Publisher’s Note,1,publisher,,27/01/2022 15:12:56,False,1,publisher,Jon Andelson,Jon_Headshot.jpg,Photo courtesy of...,"Director, The Cen...",publisher's note,rootstalk-2017-sp...,True,publisher-header.jpg,Publisher Jon And...,"publisher's note,...",,,,[]
volume-iii-issue-2,editor.md,Editor's Note,2,editor,,27/01/2022 15:12:56,False,1,Editor-in-Chief,Mark Baechtel,MHB_headshot.jpg,,**Mark Baechtel**...,editor's note,rootstalk-2017-sp...,,,,editor's note,,,,['azure_headerimage']
volume-iii-issue-2,bergman.md,What is the Prair...,3,bergman,,27/01/2022 15:12:56,False,1,author,Cecilia Bergman,IMG_4933.jpg,Photo by Sonia Ch...,Cecilia is a seco...,infographic,rootstalk-2017-sp...,True,bergman-header.jpg,,infographic,,,,[]
volume-iii-issue-2,fellows.md,"Nostalgia, the Ni...",13,fellows,,27/01/2022 15:12:56,False,1,author,Will Fellows,FellowsWill-May20...,Photo by Richard ...,*Will Fellows* is...,,rootstalk-2017-sp...,,,,essay,,,,['azure_headerimage']
volume-iii-issue-2,stowe.md,Roots Talk! Episo...,12,stowe,,27/01/2022 15:12:56,False,2,interviewee,Bill Stowe,,,,,rootstalk-2017-sp...,,,,podcast interview...,,,,['azure_headerimage']
volume-iii-issue-2,cain.md,A Shared Heritage...,8,cain,,27/01/2022 15:12:56,False,1,author,Toby Cain,LJU_74222.jpg,Photo courtesy of...,A native of South...,,rootstalk-2017-sp...,,,,essay,,,,['azure_headerimage']
volume-iii-issue-2,rosburg.md,The Making of the...,17,rosburg,,27/01/2022 15:12:56,False,1,author,Thomas Rosburg,image_thomas_rosb...,Photo courtesy of...,Thomas Rosburg gr...,,rootstalk-2017-sp...,,,,essay,,,,['azure_headerimage']
volume-iii-issue-2,aschittino.md,My Growth at Must...,7,aschittino,,27/01/2022 15:12:56,False,1,author,Tristan Aschittino,Edited_Tristan.jpg,All photos courte...,Tristan Aschittin...,essay,rootstalk-2017-sp...,True,aschittino-header...,,essay,,,,[]
volume-iii-issue-2,brosseau.md,Ekphrasis* on the...,18,brosseau,,27/01/2022 15:12:56,False,2,author,Benjamin Brosseau,benjamin-brosseau...,Photo courtesy of...,*Benjamin Brossea...,,rootstalk-2017-sp...,,,,"poem,art,ekphrasis",Benjamin and Ther...,,,['azure_headerimage']
volume-iii-issue-2,birds-of-the-prairie.md,Birds of the Prairie,19,birds-of-the-prairie,,27/01/2022 15:12:56,False,,,,,,,,rootstalk-2017-sp...,True,birds-of-the-prai...,,"photography,mixed...",,,,[]
volume-iii-issue-2,gaunt.md,Bracing Her Feet:...,11,gaunt,,27/01/2022 15:12:56,False,2,author,Chris Gaunt,Screen_Shot_2017-...,Photo courtesy of...,Chris Gaunt is a ...,,rootstalk-2017-sp...,,,,interview,,,,['azure_headerimage']
volume-iii-issue-2,abdulkarim.md,A Syrian-American...,9,abdulkarim,Interview conduct...,27/01/2022 15:12:56,False,2,interviewee,Boraan Abdulkarim,Abdulkarim_headsh...,Photo courtesy of...,Boraan Abdulkarim...,interview,rootstalk-2017-sp...,True,abdulkarim-header...,,interview,,,,[]
volume-iii-issue-2,_index.md,"Volume III, Issue 2",,,Spring 2017,,,,,,,,,,rootstalk-2017-sp...,,,,,,,,"['issueIndex', 'pid']"
volume-iii-issue-2,moffett.md,Dead Gun,4,moffett,,27/01/2022 15:12:56,False,1,author,Sandy Moffett,Sandy_1.jpg,Photo courtesy of...,"Sandy Moffett, Em...",Short Story,rootstalk-2017-sp...,,,,"short story,essay",,,,['azure_headerimage']
volume-vi-issue-1,snouffer.md,'Prairie Science ...,,,,,False,1,author,Linda Snouffer,grinnell_28570_OB...,,Artist ***[Linda ...,Artist Closeup,rootstalk-2020-sp...,,,,,,,,['azure_headerimage']
volume-vi-issue-1,buck.md,One of the Stories,,,,,False,1,author,Pasha Buck,grinnell_28580_OB...,,***Pasha Buck*** ...,Short Story,rootstalk-2020-sp...,,,,,,,,['azure_headerimage']
volume-vi-issue-1,adair.md,Prairie Potholes ...,,,,,False,1,author,Steve Adair,grinnell_28597_OB...,,***Stephen E. Ada...,Essay,rootstalk-2020-sp...,,,,,,,,['azure_headerimage']
volume-vi-issue-1,brown.md,My Integrated Lif...,,,,,False,1,author,Dartanyan Brown,grinnell_28542_OB...,,***[Dartanyan Bro...,Memoir,rootstalk-2020-sp...,,,,"culture,essay,memoir",,,,['azure_headerimage']
volume-vi-issue-1,moffet.md,The Indoor Prairie,,,,,False,1,author,Sandy Moffett,grinnell_28588_OB...,,***Sandy Moffett*...,Photo Essay,rootstalk-2020-sp...,,,,,,,,['azure_headerimage']
